,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm,subdir,subdir_idx
3,bad riddim,A-Star,rdd6hmakuwQ,A-Star - Bad Riddim (Official Music Video) #BadRiddimChallenge,1 year ago,718879.0,2:52,172.0,A-Star,203,Pop;International Pop,130.0,main,43
14,56,Aleesha;Mike Snell,hTRy1BxuUto,Aleesha - 56,1 year ago,1531767.0,1:47,107.0,Aleesha,829,Pop,98.98,main,270
15,sweating,Alewya,AaA8UbpxrKg,Alewya - Sweating (Official Video),1 year ago,3018596.0,3:42,222.0,Alewya,1265,Rap/Hip Hop,102.0,main,272
22,numero 10,Alizzz;MC Buzzz;Mc Bin Laden,PVTrmeAcbY4,MC Buzzz & MC Bin Laden - Número 10 (Prod. Alizzz),1 year ago,50308.0,2:29,149.0,Whoa Music,44,Latin Music,124.97,main,363
34,cyanide,AutoLaser,7DQO-rzzjXo,Autolaser - Cyanide,6 years ago,692291.0,4:11,251.0,Trap City,132,Sex,137.0,main,665
43,p fkn r,Bad Bunny;Kendo Kaponi;Arcangel,1FmFxG3Dfi8,BAD BUNNY x KENDO KAPONI x ARCANGEL - P FKN R | YHLQMDLG [Visualizer],1 year ago,31379733.0,4:19,259.0,Bad Bunny,2403,Reggaeton;Latin Music,100.95,main,843
44,blink (prod. dj florentino) (feat. el guincho & florentino),Bad Gyal,Q1DaQA7bW80,Bad Gyal - Blink (Prod. DJ Florentino),3 years ago,3574884.0,4:12,252.0,Bad Gyal,648,Hip-Hop/Rap,94.0,main,866
45,santa maria,Bad Gyal;Busy Signal,wlJeZvdlx4E,Bad Gyal - Santa Maria ft. Busy Signal,2 years ago,21203554.0,2:36,156.0,Bad Gyal,2144,Pop;Latin Music,107.0,main,895
50,mad gaal,BEAM,XXZBPKBDEJE,BEAM - MAD GAAL (Audio),1 year ago,172978.0,2:20,140.0,whoisbeam,52,Hip-Hop/Rap,100.0,main,973
55,badman ollo,Bizzey;Yung Felix;Josylvio;3robi,49PWgKvGHPY,Bizzey x Yung Felix x Josylvio - Badman Ollo ft. 3Robi,4 years ago,10367929.0,3:53,233.0,noahsarklabel,879,Rap/Hip Hop,108.0,main,1087
64,mpts,Branko/Pedro,gbHGi2aWxEU,Branko & PEDRO - MPTS (Chords Version),2 years ago,190096.0,3:19,199.0,Branko,63,Electro;Dance;Disco,127.0,main,1195
75,bien duro,C. Tangana,YMNL8m0uDKM,C. Tangana - Bien Duro (Video Oficial),3 years ago,21969762.0,3:18,198.0,C. Tangana,2161,Rap/Hip Hop;Pop;Latin Pop;Latin Music,101.0,main,1410
80,small boy,C.P;ShockTown,Y4i82AHk80k,CP x Shocktown - Small Boy (Music Video) | @MixtapeMadness,1 year ago,40867.0,3:37,217.0,Mixtape Madness,38,Rap/Hip Hop,100.0,main,1476
84,kelegbe,Candy Bleakz,Mq_JEcVOBAY,Candy Bleakz - Kelegbe (Official Video),1 year ago,373406.0,3:03,183.0,Candy Bleakz,132,African Music,122.0,main,1508
92,vroom vroom,Charli XCX,qfAqtFuGjWM,Charli XCX - Vroom Vroom [Official Video],5 years ago,13952139.0,3:23,203.0,Vroom Vroom Recordings,1819,Electronic / Pop / Hip-Hop,151.0,main,1649
99,kumbaza,Chuckie,JrM0hqKjT4E,Chuckie - Kumbaza [DDM104],3 years ago,59964.0,2:39,159.0,dirtydutchtv,12,,128.0,main,1824
109,"wanna go (feat. mina rose, coco & big zuu)",Conducta;Mina Rose;Coco;Big Zuu,ZdBN442fQHk,"Conducta ft. Coco, Big Zuu & Mina Rose - Wanna Go [Music Video] | GRM Daily",3 years ago,24301.0,2:45,165.0,GRM Daily,34,Alternative;Indie Rock;Dance,136.0,main,2000
120,broken flowers,Danny L Harle,OwpP6gNiIWE,Danny L Harle - Broken Flowers,5 years ago,1988474.0,3:23,203.0,Danny L Harle,508,,122.0,main,2289
