Name	Artist	Genre	AverageBpm	Comments
Now That I Need You 	☾ ☾		110.00	8B
Baja confirmada	$amurai;Mumbai Moon	Pop	86.00	9A
Microdosing	070 Shake	Alternative	93.00	10A
It's a Vibe (feat. Ty Dolla $ign, Trey Songz & Jhené Aiko)	2 Chainz	Hip-Hop/Rap	73.01	11A
Day One	45Diboss	Reggae	98.00	5A
Bad Riddim	A-Star	Pop;International Pop	130.00	4A
Beautiful (Rustie Edit)	A. G. Cook	Other	141.99	9B
Spice	Abbs Irn,MurdocKid &Yaw Mini		108.00	3A
Fruit	ABRA	R&B/Soul	120.00	6A
Nana	Acid Pauli	Electrónica	124.00	
Hele Meneer	Adje	Rap/Hip Hop	100.00	9A
You Keep Me So Hard	Adrien De Valentin	Presex	97.00	7A
Drogba (Joanna)	Afro B	Rap/Hip Hop	108.00	10A
They Know	Afro B;Tion Wayne	Rap/Hip Hop	93.00	10A
Pasilda	Afro Medusa	Electro;Techno/House;Dance	127.01	
Little Pakistani Boy	Ahadadream	Dance	135.00	10A
Bonce	Ahadadream	Dance	128.00	8A
MYLO DRUM DUB	Ahadadream		130.00	9A
ROSALÍA DRUM DUB	Ahadadream		125.00	4A
Come 2018 (feat. David GotSound)	Ahadadream;David GotSound	Dance	128.00	5B
Look	Aidonia	Reggae;Dancehall/Ragga	100.00	7A
Apercu	Air Max '97	Sex	137.00	7B
TELÉFONO	Aitana	Pop;Latin Music	86.00	10B
Chase	AJ & Deano		102.00	5A - Energy 7
Naila (Murlo Remix)	AJ Tracey & Murlo	Hip-Hop/Rap	140.00	6A
Butterflies	AJ Tracey;Not3s	Rap/Hip Hop	104.00	4A
Peligrosa	Aleesha;$kyhook;InnerCut	Rap/Hip Hop	105.00	7A
Outta Ctrl	Aleesha;Livinlargeinvenus	Electro;Dance	98.00	10A
56	Aleesha;Mike Snell	Pop	98.98	1A
NO MAN	Aleesha;Mike Snell	Pop	84.00	
Sweating	Alewya	Rap/Hip Hop	102.00	
Peanut Butter (Moon Boots Remix)	Alison Valentine	 	103.00	 
That Gurl	ALIZZZ	Dance	142.00	4A
What IF	ALIZZZ	Dance	139.99	4B
I C U (feat. Santell)	ALIZZZ	Dance	85.00	12B
Sunshine	ALIZZZ	Dance	146.00	1A
2 Languages feat. Iyeball	Alizzz	Rap	91.00	6A
Better Than You feat. Promnite, Santell, Iyeball	Alizzz	R&B / Rap	112.00	11A
Body Slam feat. Santell	Alizzz	R&B	130.00	12A
pop ur pussy (master)	ALIZZZ - C. TANGANA		95.00	4A
MALA MUJER MASTER FINAL KB VOX	ALIZZZ - C.TANGANA	Blues	101.00	5A
Your Love Hoodboi_mstr2	Alizzz Feat. Max Marshall		153.00	2B
Número 10	Alizzz;MC Buzzz;Mc Bin Laden	Latin Music	124.97	2A
Eu Voy Duro	All Day Ray		128.00	
Put Your Hands Up (N55 Hi Emotions Remix)	AlunaGeorge	Presex	155.00	5B
Gunfingers	Alvva	Alternativo;Indie Rock;Electro;Rap/Hip Hop;Soul & Funk;Grime	130.00	5A
Follow Me (Erik Hagleton Rework) (Strictly Rhythm) Out March 31	Aly-Us		124.00	5A
Heart-Shaped Box	Amber Mark	R&B	80.91	
1 Thing (Deejay Irie Rework)	Amerie vs Bacao Rhythm & Steel Band		101.00	2A/4A
How Can She	Amtrac		125.00	8A
Those Days (Original Mix)	Amtrac		124.00	11A
Werkin Girls	Angel Haze	Rap/Hip Hop;R&B	75.99	1A
Drop It Like Its Hot	Anka		90.00	1B
BASSIC	Anka		91.90	All - Energy 8
BROWNSTONE	Anka		95.00	10A - Energy 7
Precious Possession	Anna Wise	Alternative	138.00	
Count My Blessings	Anna Wise;Denzel Curry	R&B	90.00	7A
Wishlist (Dirty)	Another Hustle		88.00	10B - Energy 6
Karma	Aquihayaquihay	Latin Music	139.00	
KLK	Arca;Rosalía	Electro	98.00	3A
break up with your girlfriend, i'm bored	Ariana Grande	Pop	85.00	5A
Love The Way (YYIOY Bootleg)	Ariana Grande ft Mac Miller		143.00	7A
ROXANNE	Arizona Zervas	Rap/Hip Hop	87.50	11B
Alone With You	Ashlee	R&B	104.00	12A
Blue Hawaii (Brenmar Remix)	Astr	Club	130.00	6A
PNTHR	Athletixx	Club	126.00	4A
'promise ya'	Atu		110.00	12B
Cyanide	AutoLaser	Sex	136.99	6A
Cyanide	AutoLaser	Sex	137.00	6A
Energy (feat. Stormzy & Skepta) [DJ Rlo Remix]	Avelino	Hip-Hop	134.91	11A
Boasy	Avelino;Not3s	Rap/Hip Hop	108.00	
BIMBA	Awwz		122.02	8B
AWAKE	Awwz	Presex	130.99	5A
AWAKE	Awwz	#shower	131.00	5A
