name,artist
Microdosing,070 Shake
"It's a Vibe (feat. Ty Dolla $ign, Trey Songz & Jhené Aiko)",2 Chainz
Bad Riddim,A-Star
Beautiful (Rustie Edit),A. G. Cook
Fruit,ABRA
Nana,Acid Pauli
Drogba (Joanna),Afro B
They Know,Afro B;Tion Wayne
Look,Aidonia
TELÉFONO,Aitana
Chase,AJ & Deano
Peligrosa,Aleesha;$kyhook;InnerCut
56,Aleesha;Mike Snell
Sweating,Alewya
Peanut Butter (Moon Boots Remix),Alison Valentine
pop ur pussy (master),ALIZZZ - C. TANGANA
Número 10,Alizzz;MC Buzzz;Mc Bin Laden
Follow Me (Erik Hagleton Rework) (Strictly Rhythm) Out March 31,Aly-Us
Heart-Shaped Box,Amber Mark
How Can She,Amtrac
Those Days (Original Mix),Amtrac
Precious Possession,Anna Wise
Karma,Aquihayaquihay
"break up with your girlfriend, i'm bored",Ariana Grande
ROXANNE,Arizona Zervas
Alone With You,Ashlee
PNTHR,Athletixx
Cyanide,AutoLaser
Boasy,Avelino;Not3s
The Big Big Beat,Azealia Banks 
One Touch (feat. AlunaGeorge a,Baauer
A Tu Merced,Bad Bunny
P FKN R,Bad Bunny;Kendo Kaponi;Arcangel
Blink (Prod. DJ Florentino) (feat. El Guincho & Florentino),Bad Gyal
Santa Maria,Bad Gyal;Busy Signal
Live Up To My Name (Dirty),Baka Not Nice
Baza Ba Skivere,Bala Bala Boyz
Heirloom,Basenji
Dawn,Basenji
Mad Gaal,BEAM
Blade (Tidal Wave Of Love) Demo,Ben Khan
Fallin Love (Cashmere Cat Remix),BenZel
Baby Boy,Beyoncé;Sean Paul
Badman Ollo,Bizzey;Yung Felix;Josylvio;3robi
Ramen Noodles,Bizzy Crook
RITMO (Bad Boys For Life),Black Eyed Peas;J Balvin
Really Love,Body Language
Melba's Call (feat. Kelela),Bok Bok
Gold (Star Slinger Refix),Bondax
Millions de mélos,Bramsito;Soprano
Lucuma,Branko & Dengue Dengue Dengue
MPTS,Branko/Pedro
Batty Rider,Buju Banton
Anybody,Burna Boy
Collateral Damage,Burna Boy
Show & Tell (feat. Future),Burna Boy;Future
Gum Body (feat. Jorja Smith),Burna Boy;Jorja Smith
This Side (feat. YG),Burna Boy;YG
Antes de Morirme (feat. Rosalía),C. Tangana
De Pie,C. Tangana
Bien Duro,C. Tangana
Demasiadas Mujeres,C. Tangana
Yelo,C. Tangana;Alizzz
Viene y Va,C. Tangana;Natti Natasha
Tú Me Dejaste De Querer (feat. Niño de Elche & La Hungara),C. Tangana;Niño de Elche;La Hungara
Small Boy,C.P;ShockTown
"Up Inna (Beam, Cham & Alicai Harley Remix)",Cadenza;M.I.A.;GuiltyBeatz;Beam;Cham;Alicaì Harley
Summer (Mike Stud Cover),Calvin Harris
Kelegbe,Candy Bleakz
I Like It,Cardi B;Bad Bunny;J Balvin
Can't Do Without You,Caribou
With Me (Infuze Remix),Cashmere Cat
Adore feat Ariana Grande (MssingNo Remix),Cashmere Cat
Twist and Shout,Chaka Demus & Pliers
Lighter VIP,Champion
Vroom Vroom,Charli XCX
Glow,Chiefs & CRNKN 
Centiped,Childish Gambino
This Is America (Dirty),Childish Gambino
Pills & Automobiles,"Chris Brown Ft. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black"
Kumbaza,Chuckie
Level Up,Ciara
No Eyes Feat. Jaw (Original Mix) ,Claptone
Evening Ever,Clu
Be Yourself,Codec
Turning (Flume Remix),Collarbones
Let Go (VIP),Conducta
Steezing (feat. Coco & J'Danna),Conducta;Coco;J'Danna
"Wanna Go (feat. Mina Rose, Coco & Big Zuu)",Conducta;Mina Rose;Coco;Big Zuu
María,Coral Casino
Live In The Moment,Craig David ft. GoldLink
TLC,Cruz Cafuné;Maikel Delacalle
Perfect Form,Cyril Hahn feat. Shy Girls 
Better,Dallas Hill
Get You (feat. Kali Uchis),Daniel Caesar
Lil Bebe,DaniLeigh
All I Know,DaniLeigh ft. Kes
Broken Flowers,Danny L Harle
Awake for Hours,Danny L Harle
Alicia,Darius & Crayon
Ends,Darrein Safron
All Your Goodies Are Gone feat. Mayer Hawthorne (Shigeto remix),Dennis Coffey
Up (Audio),Desiigner 
You & Me (feat. Eliza Doolittle) (Flume Remix),Disclosure
Disclosure - Tenderly (Melé Remix),Disclosure
Holding On (feat. Gregory Porter),Disclosure
GhanaBoyz Challenge (SOMJI Edition) [feat. Manlikestunna],DJ Flex
Good Comfort,DJ Frass;Shenseea
"Olhei, gostei (feat. Ludmilla)",DJ Lindão;Ludmilla
Be Mine (feat Kai Ryder),DJ Q
Fuck It up Challenge,DJ Telly Tellz
Mafa Mafa,DMW;DaVido;The Flowolf;Peruzzi;Dremo
Juicy - by Museekal,Doja Cat
Contando Lunares (feat. Cruz Cafuné),Don Patricio;Cruz Cafuné
Bandoe (Dirty),Donae'o ft. Don E
Polo (Dirty),DonaeO
My Circle Remix (Dirty),"Donaeo ft. Cadet, Wiley, & Ghetts"
I Feel Love [Original 12'],Donna Summer
Cartier (feat. Chivv & 3robi),Dopebwoy
Santo Domingo,Dopebwoy;Yxng Bane
Barbie Boy (feat. Sega Bodega),Dorian Electra;Sega Bodega
Marimba Rija,Dotorado Pro
Controlla,Drake
One Dance (feat. Wizkid & Kyla),Drake
Fake Love,Drake
Chop Chop,DyDy;Gold Gad
Gotta Have It,Equator Club & Aztek
Martina,Eso.XO.Supreme
Body (feat. Mr Eazi),Eugy
Hinode,Fakear
Brrrrrr (What Happened?) ,Falcons
Gyal Dem Move,Falcons & Juelz
What's Luv - ZIGGY & Praia Del Sol 2018 Remix,Fat Joe ft. Ashanti
Go Back Home,FKJ
The GTW & Bengfang - Cravings,Flight Facilities
Paper Thin,Flume
Pumped Up Kicks (Gigamesh Remix),Foster The People
Lookin Exotic,Future
Patek Water (feat. Offset),Future & Young Thug
We On,Gavlyn & DJ Hoppa
You,Gidge
Choreograph,Gilligan Moss
Llama,Girl Ultra
Abril,Girl Ultra
Adiós,Girl Ultra
Lejos,Girl Ultra;Coco Santos
5th Ave,Gold Panda
"Crew ft. Brent Faiyaz, Shy Glizzy",GoldLink 
PRESSURE,Goon des Garcons
Crocodile Tears,GRADES
Cash Train (feat. Not3s & Blade Brown),GRM Daily;Not3s;BLADE BROWN
Little Bit of This (feat. Vince Staples) (Original Mix),"GTA, Vince Staples"
Something About You,Hayden James
"Never Goin' Broke (Feat. Iamsu!, P-Lo, Kool John, Jay Ant",HBK Gang 
Ukiyo,Hermitude
Addio Mare (feat. Astroboi),Highkili;Astroboi
We Do it ,Hnqo 
Lambada,Hr. Troels;Manos
Cashmere,Hucci
