Título de la pista,Artista,BPM,Tiempo,Tonalidad,Ubicación,Comentarios,Fecha añadida
4x4,Young T & Bugsey,"139,20",3:41,Dbm,/Users/Hit/Desktop/AIb2bDJ - Final/01 4x4.m4a,11A - Energy 5,2022-03-21
BIPP,SOPHIE,"123,99",3:00,Am,/Users/Hit/Desktop/AIb2bDJ - Final/01 BIPP.mp3,11B,2022-03-21
Broken Flowers,Danny L Harle,"122,00",3:24,C,/Users/Hit/Desktop/AIb2bDJ - Final/01 Broken Flowers.mp3,8A,2022-03-21
Cartier (feat. Chivv & 3robi),Dopebwoy,"127,00",3:52,E,/Users/Hit/Desktop/AIb2bDJ - Final/01 Cartier (feat. Chivv & 3robi).m4a,9A,2022-03-21
GhanaBoyz Challenge (SOMJI Edition) [feat. Manlikestunna],DJ Flex,"138,00",1:57,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/01 GhanaBoyz Challenge (SOMJI Edition) [feat. Manlikestunna].mp3,4A,2022-03-21
Hipster Girls,Iamsu!,"129,00",3:13,F#m,/Users/Hit/Desktop/AIb2bDJ - Final/01 Hipster Girls.mp3,9A - Energy 6,2022-03-21
I'm Better (feat. Lamb),Missy Elliott,"105,00",3:33,Cm,/Users/Hit/Desktop/AIb2bDJ - Final/01 I'm Better (feat. Lamb).mp3,5A,2022-03-21
Lemonade,Sophie,"142,99",1:58,Ab,/Users/Hit/Desktop/AIb2bDJ - Final/01 Lemonade.mp3,4A,2022-03-21
Vroom Vroom,Charli XCX,"75,50",3:13,B,/Users/Hit/Desktop/AIb2bDJ - Final/01 Vroom Vroom.mp3,1B,2022-03-21
56,Aleesha;Mike Snell,"98,98",1:38,Abm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 56.mp3,1A,2022-03-21
A Palé,Rosalía,"123,01",2:23,Abm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 A Palé.mp3,6A,2022-03-21
Badman Ollo,Bizzey;Yung Felix;Josylvio;3robi,"108,00",3:51,Abm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Badman Ollo.mp3,6A,2022-03-21
Bien Duro,C. Tangana,"101,00",3:02,Gm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Bien Duro.mp3,6A,2022-03-21
Big Man,Sevn Alias;Mula B;Trobeats,"96,00",2:43,Em,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Big Man.mp3,9A,2022-03-21
BUK,Valsbezig,"102,00",2:51,Fm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 BUK.mp3,4A,2022-03-21
Business Woman,Nathy Peluso,"83,00",3:47,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Business Woman.mp3,6A,2022-03-21
Cash Train (feat. Not3s & Blade Brown),GRM Daily;Not3s;BLADE BROWN,"98,00",2:56,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Cash Train (feat. Not3s & Blade Brown).mp3,7A,2022-03-21
Coño,Puri;Jhorrmountain;Adje,"100,00",2:17,F,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Coño.mp3,9A,2022-03-21
Daddy Yo,Wizkid,"99,00",2:41,Am,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Daddy Yo.mp3,8A,2022-03-21
Don't Rush,Young T & Bugsey;Headie One,"108,00",3:27,Dbm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Don't Rush.mp3,12A,2022-03-21
LLÁMAME,Juicy BAE,"75,00",2:59,Dm,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 LLÁMAME.mp3,7A,2022-03-21
Mamacita,KM;Frenna;Jonna Fraser,"130,00",3:14,C,/Users/Hit/Desktop/AIb2bDJ - Final/1-01 Mamacita.mp3,8A,2020-01-17
