,name,artist,youtube_id,youtube_title,youtube_published,youtube_views,youtube_duration,youtube_duration_sec,youtube_channel,n_comments,genre,average_bpm
2,Microdosing,070 Shake,R6oPVSQpmAo,070 Shake - Microdosing (Official Audio),1 year ago,151271.0,3:41,221.0,070 Shake,108,Alternative,93.0
19,"It's a Vibe (feat. Ty Dolla $ign, Trey Songz & Jhené Aiko)",2 Chainz,tU3p6mz-uxU,"2 Chainz - It's A Vibe ft. Ty Dolla $ign, Trey Songz, Jhené Aiko (Official Music Video)",4 years ago,134620537.0,3:20,200.0,2 Chainz,2293,Hip-Hop/Rap,73.01
43,Bad Riddim,A-Star,rdd6hmakuwQ,A-Star - Bad Riddim (Official Music Video) #BadRiddimChallenge,1 year ago,718879.0,2:52,172.0,A-Star,203,Pop;International Pop,130.0
56,Beautiful (Rustie Edit),A. G. Cook,gMPtgYPW7Iw,A. G. Cook - Beautiful (Rustie Edit) (official),6 years ago,214634.0,3:34,214.0,LuckyMe Records,79,Other,141.99
92,Fruit,ABRA,CI1g4dnDtao,ABRA - Fruit (Official Music Video),5 years ago,19842290.0,5:33,333.0,Awful Records,1967,R&B/Soul,120.0
93,Nana,Acid Pauli,g2-k0vHX0FQ,Acid Pauli - Nana (Original Mix),3 years ago,93129.0,9:23,563.0,Misho Zindrishvili,18,Electrónica,124.0
115,Drogba (Joanna),Afro B,9YqecbxSr4A,Afro B - Drogba (Joanna) Prod by Team Salut [Official Music Video],2 years ago,139486467.0,3:23,203.0,Afro B,1014,Rap/Hip Hop,108.0
126,They Know,Afro B;Tion Wayne,kIZyqRil0r8,Afro B - AFROWAVE 2 - 03. They Know (ft. Tion Wayne) [Official Audio],3 years ago,50716.0,3:41,221.0,Afro B,10,Rap/Hip Hop,93.0
169,Look,Aidonia,JoRaz9gBDxE,Aidonia - Look (Official Video),1 year ago,2671570.0,2:42,162.0,AidoniaVEVO,1815,Reggae;Dancehall/Ragga,100.0
194,TELÉFONO,Aitana,bHTfTPIMnaw,Aitana - TELÉFONO,3 years ago,100853932.0,2:44,164.0,Aitana,1345,Pop;Latin Music,86.0
204,Chase,AJ & Deano,3KFdsS_nQfQ,AJ x Deno - Chase (Official Video),4 years ago,2021718.0,3:33,213.0,Deno Driz,760,,102.0
258,Peligrosa,Aleesha;$kyhook;InnerCut,6ju3gpPQUcc,"ALEESHA, $kyhook & InnerCut - PELIGROSA",2 years ago,326628.0,2:46,166.0,Aleesha,242,Rap/Hip Hop,105.0
270,56,Aleesha;Mike Snell,hTRy1BxuUto,Aleesha - 56,1 year ago,1531767.0,1:47,107.0,Aleesha,829,Pop,98.98
272,Sweating,Alewya,AaA8UbpxrKg,Alewya - Sweating (Official Video),1 year ago,3018596.0,3:42,222.0,Alewya,1265,Rap/Hip Hop,102.0
284,Peanut Butter (Moon Boots Remix),Alison Valentine,_mfpwPPBEjs,Alison Valentine - Peanut Butter (Moon Boots Remix),8 years ago,687117.0,5:13,313.0,Majestic Casual,158, ,103.0
349,pop ur pussy (master),ALIZZZ - C. TANGANA,s4MXRMqwTLY,C. Tangana - Pop Ur Pussy (Audio),3 years ago,955993.0,3:38,218.0,C. Tangana,118,,95.0
363,Número 10,Alizzz;MC Buzzz;Mc Bin Laden,PVTrmeAcbY4,MC Buzzz & MC Bin Laden - Número 10 (Prod. Alizzz),1 year ago,50308.0,2:29,149.0,Whoa Music,44,Latin Music,124.97
417,Follow Me (Erik Hagleton Rework) (Strictly Rhythm) Out March 31,Aly-Us,mGjAoHXyph8,Aly-Us - Follow Me (Erik Hagleton Rework) (Strictly Rhythm) Out March 31,4 years ago,52647.0,5:45,345.0,Erik Hagleton,24,,124.0
432,Heart-Shaped Box,Amber Mark,7fbvkNmRrjA,Amber Mark - Heart-Shaped Box (Nirvana Cover),1 year ago,32699.0,2:51,171.0,David Dean Burkhart,35,R&B,80.91
461,How Can She,Amtrac,hhBO6hwZxSs,Amtrac - How Can She (Original Mix),8 years ago,59160.0,7:58,478.0,LowkeyAssNetwork,23,,125.0
488,Those Days (Original Mix),Amtrac,hg8Nl40e1Kc,Amtrac - Those Days (Original Mix),8 years ago,218623.0,7:02,422.0,Amtrac,45,,124.0
522,Precious Possession,Anna Wise,zVs20YmfQKE,"""Precious Possession"" - Anna Wise OFFICIAL AUDIO",5 years ago,331764.0,3:47,227.0,Anna Wise,172,Alternative,138.0
539,Karma,Aquihayaquihay,Q3Tkq6BY9PA,AQUIHAYAQUIHAY - Karma,2 years ago,1998825.0,2:29,149.0,Finesse Records,490,Latin Music,139.0
561,"break up with your girlfriend, i'm bored",Ariana Grande,LH4Y1ZUUx2g,"Ariana Grande - break up with your girlfriend, i'm bored (Official Video)",2 years ago,445947452.0,3:25,205.0,Ariana Grande,673,Pop,85.0
587,ROXANNE,Arizona Zervas,16YnOUnbE6s,Arizona Zervas - ROXANNE (Official Video),1 year ago,148143890.0,2:51,171.0,Arizona Zervas,523,Rap/Hip Hop,87.5
601,Alone With You,Ashlee,1OhQbqRwdKo,Ashlee - Alone With You (Official Audio),2 years ago,5696615.0,3:17,197.0,Ashlee,693,R&B,104.0
646,PNTHR,Athletixx,wr7dmhpGeIM,Athletixx - PNTHR,5 years ago,16834.0,3:22,202.0,Fool's Gold Records,11,Club,126.0
665,Cyanide,AutoLaser,7DQO-rzzjXo,Autolaser - Cyanide,6 years ago,692291.0,4:11,251.0,Trap City,132,Sex,137.0
677,Boasy,Avelino;Not3s,sD0V4v4t7Rs,Avelino ft. Not3s - Boasy [Music Video] | GRM Daily,3 years ago,3860723.0,2:45,165.0,GRM Daily,386,Rap/Hip Hop,108.0
740,The Big Big Beat,Azealia Banks ,PXUfBxMbC3A,Azealia Banks - The Big Big Beat,5 years ago,21332462.0,3:56,236.0,Azealia Banks,1612,,121.93
758,One Touch (feat. AlunaGeorge a,Baauer,gxApr8QnlGY,Baauer - One Touch (ft. AlunaGeorge & Rae Sremmurd),4 years ago,24437889.0,3:36,216.0,TrapMusicHDTV,1952,Dance,96.0
792,A Tu Merced,Bad Bunny,ublf6qfpuuo,BAD BUNNY - A TU MERCED | YHLQMDLG [Visualizer],1 year ago,161528188.0,2:56,176.0,Bad Bunny,1621,Reggaeton;Latin Music,92.0
843,P FKN R,Bad Bunny;Kendo Kaponi;Arcangel,1FmFxG3Dfi8,BAD BUNNY x KENDO KAPONI x ARCANGEL - P FKN R | YHLQMDLG [Visualizer],1 year ago,31379733.0,4:19,259.0,Bad Bunny,2403,Reggaeton;Latin Music,100.95
866,Blink (Prod. DJ Florentino) (feat. El Guincho & Florentino),Bad Gyal,Q1DaQA7bW80,Bad Gyal - Blink (Prod. DJ Florentino),3 years ago,3574884.0,4:12,252.0,Bad Gyal,648,Hip-Hop/Rap,94.0
895,Santa Maria,Bad Gyal;Busy Signal,wlJeZvdlx4E,Bad Gyal - Santa Maria ft. Busy Signal,2 years ago,21203554.0,2:36,156.0,Bad Gyal,2144,Pop;Latin Music,107.0
896,Live Up To My Name (Dirty),Baka Not Nice,1CG42XV0LOE,BAKA NOT NICE - Live Up To My Name (Official Video),4 years ago,14575154.0,3:04,184.0,BAKA NOT NICE,2005,,130.0
906,Baza Ba Skivere,Bala Bala Boyz,y1t3JhPlaPs,Bala Bala Boyz - Baza Ba Skivere,2 years ago,266613.0,3:15,195.0,NTS,19,Dance,124.0
930,Heirloom,Basenji,Ki300WC61UE,Basenji - Heirloom [Official Music Video],6 years ago,461892.0,3:29,209.0,Future Classic,227,,145.0
950,Dawn,Basenji,sfO8NkUF2AY,Basenji - Dawn,7 years ago,2503361.0,3:21,201.0,TheSoundYouNeed,321,,120.0
973,Mad Gaal,BEAM,XXZBPKBDEJE,BEAM - MAD GAAL (Audio),1 year ago,172978.0,2:20,140.0,whoisbeam,52,Hip-Hop/Rap,100.0
998,Blade (Tidal Wave Of Love) Demo,Ben Khan,rtrFTtEPCl4,Ben Khan | Blade (Tidal Wave Of Love) Demo,5 years ago,116280.0,3:10,190.0,Ben Khan,81,,123.0
1030,Fallin Love (Cashmere Cat Remix),BenZel,E73RoXCUj4A,BenZel - Fallin Love (Cashmere Cat Remix) [FREE DL],8 years ago,66157.0,3:32,212.0,Run The Trap,17,,140.0
1067,Baby Boy,Beyoncé;Sean Paul,8ucz_pm3LX8,Beyoncé - Baby Boy (Video) ft. Sean Paul,11 years ago,143103000.0,4:10,250.0,Beyoncé,1430,Pop;R&B,91.14
1087,Badman Ollo,Bizzey;Yung Felix;Josylvio;3robi,49PWgKvGHPY,Bizzey x Yung Felix x Josylvio - Badman Ollo ft. 3Robi,4 years ago,10367929.0,3:53,233.0,noahsarklabel,879,Rap/Hip Hop,108.0
1121,Ramen Noodles,Bizzy Crook,SKrDawdUkRQ,Bizzy Crook - Ramen Noodles (Official Music Video),1 year ago,47905.0,3:17,197.0,Bizzy Crook,47,Rap/Hip Hop,79.0
